trial_number,accuracy,conv1_filters,conv2_filters,lstm_hidden,dropout_cnn,dropout_fc,lr,batch_size,optimizer
21,0.4953858616563296,64,16,1024,0.35000000000000003,0.45,2.4631425822134245e-05,16,Adadelta
22,0.5077626185264785,128,64,128,0.35000000000000003,0.5,2.380470904307855e-05,16,Adadelta
23,0.7967715676301829,8,128,256,0.6500000000000001,0.05,0.0018088799864974762,128,AdamW
24,0.5222354156524217,16,32,32,0.45,0.45,1.0842726120609348e-05,64,AdamW
25,0.5046141383436704,32,16,128,0.15000000000000002,0.2,0.043575992301072904,16,AdamW
26,0.5553726946129904,128,64,256,0.2,0.5,0.0007366169607414928,64,Adadelta
27,0.6864329318572523,16,32,64,0.45,0.15000000000000002,0.023043261905105097,64,AdamW
28,0.6721915474970084,8,32,1024,0.2,0.1,0.003484080421115214,32,Adadelta
29,0.5041956427377423,64,128,32,0.55,0.45,0.0001685134564724491,128,Adadelta
30,0.7663607110203404,16,512,64,0.05,0.35000000000000003,0.004456504607576307,16,AdamW
31,0.6663091247082603,128,32,1024,0.25,0.45,1.7325610704296064e-05,32,Adam
32,0.7785224149782374,128,128,1024,0.25,0.1,0.0004162440254139458,64,Adam
33,0.7835590069568958,64,512,32,0.55,0.2,0.005357581893297669,128,RMSprop
34,0.6895915709813142,256,16,256,0.15000000000000002,0.35000000000000003,0.0003787336418468199,128,AdamW
35,0.6554063378599991,128,512,64,0.7,0.15000000000000002,2.0569444388276353e-05,128,AdamW
36,0.7986583600830129,16,512,512,0.2,0.1,0.001523854054142524,128,AdamW
37,0.5088046356436349,32,32,64,0.2,0.2,0.0008631724918730249,128,SGD
38,0.5109034465197709,16,128,1024,0.45,0.3,0.010074691270223394,128,AdamW
39,0.6428229718729261,64,32,1024,0.35000000000000003,0.4,2.4925624046887864e-05,64,AdamW
40,0.7355379555196695,8,128,256,0.55,0.1,0.0012480571337334923,128,Adam
41,0.6042575199253779,128,128,512,0.6500000000000001,0.05,0.007499794531071987,32,AdamW
42,0.6920972672448028,16,32,128,0.15000000000000002,0.45,0.012180726595188589,16,Adam
43,0.5990131314210775,16,512,512,0.1,0.1,0.005973815451998736,128,AdamW
44,0.7682430177069027,64,64,64,0.2,0.25,0.01020818624041533,128,AdamW
45,0.6958965793393522,8,16,256,0.7,0.05,0.00039803923247890184,64,AdamW
46,0.7801983764164797,16,128,256,0.6500000000000001,0.05,0.001194091151497391,128,AdamW
47,0.6709323665187683,8,64,1024,0.3,0.25,0.044429416665267556,128,SGD
48,0.6994882268425614,128,128,512,0.6500000000000001,0.35000000000000003,0.002779381201591735,32,RMSprop
49,0.7543969085154357,128,128,1024,0.7,0.2,0.00018571599210601787,32,AdamW
50,0.667575034335902,8,32,64,0.25,0.35000000000000003,0.021326284137435488,64,Adadelta
51,0.6967414866093281,64,16,32,0.5,0.3,0.0038609881087949363,128,RMSprop
52,0.7869127769136082,8,64,64,0.45,0.25,0.002391617414495049,16,AdamW
53,0.6929342584566589,8,64,64,0.6500000000000001,0.3,0.0022410962168045077,16,AdamW
54,0.7982418434916149,32,64,512,0.6000000000000001,0.2,0.0022672742111559943,128,AdamW
55,0.6975655482595885,32,64,256,0.55,0.3,0.00027955149609905025,128,AdamW
56,0.5050336894240144,32,64,512,0.55,0.2,0.008750490278403938,64,AdamW
57,0.5167714884696016,256,64,512,0.6500000000000001,0.2,0.0009793856917765182,128,SGD
58,0.7361506584181341,8,32,128,0.3,0.3,0.013725651483458333,128,AdamW
59,0.7921584847609284,128,512,512,0.6500000000000001,0.2,0.0005149898449166591,16,AdamW
60,0.5050336894240144,32,32,512,0.55,0.15000000000000002,0.00958198976522331,128,AdamW
61,0.7980304847398189,128,512,512,0.6500000000000001,0.25,0.0005041524316844584,16,AdamW
62,0.7936246706589988,16,128,512,0.7,0.2,0.001016847175991452,16,AdamW
63,0.718734275080381,16,32,512,0.6500000000000001,0.2,0.002271929524577257,16,AdamW
64,0.7909000953885004,256,512,256,0.6000000000000001,0.15000000000000002,0.0015397228719588897,32,AdamW
65,0.7963539955643689,16,128,64,0.6500000000000001,0.25,0.0005100646737315327,16,AdamW
66,0.7537699567123556,128,64,32,0.6500000000000001,0.2,0.007692236363684014,128,AdamW
67,0.5658572497239275,16,128,64,0.6500000000000001,0.25,0.0006133290561161671,16,Adadelta
68,0.7959322016008908,128,128,64,0.6000000000000001,0.3,0.0010365158841571618,16,AdamW
69,0.7781039193723093,128,128,64,0.6000000000000001,0.3,0.004206487166176158,16,AdamW
70,0.751471925040207,16,32,64,0.05,0.4,0.00033870053552460274,16,Adam
71,0.6577155839478174,8,128,256,0.7,0.05,0.006967512476122878,16,SGD
72,0.7938361613450966,256,512,512,0.3,0.2,0.0004557318073585575,128,AdamW
73,0.7913185909944284,16,512,64,0.6500000000000001,0.3,0.0010563829371549101,128,AdamW
74,0.5134240513593851,32,64,512,0.6500000000000001,0.2,0.002958786125865884,128,RMSprop
75,0.7256725680879949,8,128,512,0.6500000000000001,0.1,0.00019518649325048798,128,AdamW
76,0.7913196464688443,128,512,64,0.7,0.3,0.00031763018841315753,16,RMSprop
77,0.7806224132630915,64,128,64,0.6500000000000001,0.25,0.00015162379984053103,16,AdamW
78,0.7873331195997642,8,256,256,0.6000000000000001,0.15000000000000002,0.002939210166543346,128,AdamW
79,0.6671553513212559,128,64,128,0.6000000000000001,0.15000000000000002,0.0018636691716009837,16,SGD
80,0.667366842007354,32,32,128,0.05,0.5,0.008466204090828766,128,SGD
81,0.6917064778422937,32,512,1024,0.25,0.1,8.594690358016408e-05,128,AdamW
